SWEEP HARD CLEAR,3 Piece Core,Hard Polyester
ATTENTION BLACK PEARL,Momentous Core,Hyper-Response Pearl Coverstock
BITE SE,G2 Core,TractionX7 Hybrid Reactive
TREND SE,Piston Core,NeX Pearl Reactive
HY-ROAD GOLD PEARL,Inverted Fe2 Technology,R2X Nano Pearl Reactive
PROTON PHYSIX,Atomic Core,NeX Solid Reactive
MARVEL MAXX IMPACT,Centripetal Core,NeX Solid Reactive
IDOL SYNERGY,Ikon Core,eTrax Hybrid Reactive
IQ TOUR PINK,C3Centripetal Control Core,R2S Hybrid Reactive
SOLAR PARALLAX,Aeroflo Core,NRG-3 Pearl Reactive
RST X-1,RST Core,MicroTrax Hybrid Reactive
FAST PITCH,Tour Block,Controll XL Solid Urethane
AXIOM PEARL,Orbital Core,NeX Pearl Reactive
PHYSIX POWER ELITE,Atomic Core,NeX Pearl Reactive
CODE DYNAMIC,RAD4 Core,R3S Pearl Reactive
PHAZE III SE,Velocity Core,NRG Solid Reactive
AXIOM TOUR,Orbital Core,NeX Pearl Reactive
RUBICON,Rondure Core,eTrax-S20 Solid Reactive
ATTENTION,Momentous Core,Hyper-Response Solid Coverstock
IQ TOUR NANO PEARL,C3Centripetal Control Core,Nano Pearl Reactive
TREND,Piston Core,R2S Pearl Reactive
PARALLAX,Aeroflo Core,TractionX7 Hybrid Reactive
PHYSIX SE,Atomic Core,Nano Smooth Solid Reactive
IDOL RED,Ikon Core,MicroTrax-S19 Solid Reactive
CLEAR STORM BELMO,Hex Core,Clear Polyester
CRITICAL CODE,RAD4 Core,NRG-3 Pearl Reactive
HALO ACTION,Centrum Core,MicroTrax-S18 Solid Reactive
MARVEL MAXX ATTACK,Centripetal Core,NRG Hybrid Reactive
CRYSTAL PHYSIX,Atomic Core,NRG-2 Pearl Reactive
PHAZE ZERO,Velocity Core,GI-17 Solid Reactive
HY-ROAD RUSH,Inverted Fe2 Technology,R3X Pearl Reactive
HALO STAR,Centrum Core,MicroTrax-H18 Hybrid Reactive
DUAL LOCK,RAD-X Core,R4S Pearl Reactive
AXIOM,Orbital Core,NeX Solid Reactive
STRONG BITE TOUR,G2 Core,SPEC Solid Reactive
TOP GATE,Ignition Core,GI-18 Solid Reactive
OMEGA CRUX,Catalyst Core,GI-20 Pearl Reactive
NUCLEAR CELL,Nucleus Core,eTrax-P20 Pearl Reactive
IQ TOUR SAPPHIRE,C3Centripetal Control Core,R2S Pearl Reactive
STRONG BITE BG,G2 Core,NRG Hybrid Reactive
UFO,E.T. Core,MicroTrax-S20 Solid Reactive
IDOL PINK PEARL,Ikon Core,eTrax-P18_Pearl_Reactive
HY-ROAD PURPLE,Inverted Fe2 Technology,R2S Hybrid Reactive
MARVEL MAXX FUTURE,Centripetal Core,NRG Solid Reactive
PHAZE III,Velocity Core,R3S Hybrid Reactive
SURE DOMINATION,RAD+ Core,NRG-2 Pearl Reactive
WILD STREAK,Mutated Rotary Core,Sure Trax-S19 Solid Reactive
SWEEP HARD WHITE-PEARL PURPLE,3 Piece Core,Hard Polyester
Pitch Purple,Capacitor Core,Rev-Controllソリッドウレタン
CODE ONE,RAD4 Core,R4S Pearl Reactive
MIX,Traditional 3 piece,U1S Pearl Urethane
HALO EFFECT,Centrum Core,eTrax-P18_Pearl_Reactive
NEUTRON PHYSIX,Atomic Core,NRG Solid Reactive
SQUAD RG CLEAR POLY,3 Piece Core,Polyester
TEAM STORM ELECTRIC BLUE (BU),Traditional 3 piece,Polyester
IQ TOUR BLACK,C3Centripetal Control Core,Reactor XG Hybrid Reactive
GRAVITY EVOLVE,Shape-Lock HD Core,SPEC Solid Reactive
ALL-ROAD,Inverted Fe2 Technology,NRG Hybrid Reactive
MARVEL MAXX FORCE,Centripetal Core,NRG Pearl Reactive
TOP WINNER,Altered Hotshot Core,VTC-P18 Pearl Reactive
HYPER LOCK,RAD-X Core,R4S Pearl Reactive
HY-ROAD PURSUIT,Inverted Fe2 Technology,R2S Pearl Reactive
IDOL PRO,Ikon Core,eTrax-S19 Solid Reactive
MVP,Neutron NXT Core,VTC-H19 Hybrid Reactive
PERFECT GATE,Ignition Core,GI-17 Solid Reactive
SON!Q HEAT,Centripetal HD Core,NRG Smooth Pearl Reactive
HALO VISION,Centrum Core,eTrax-H19 Hybrid Reactive
PRO-MOTION,Piston Core,SPEC Solid Reactive
IQ TOUR EMERALD,C3Centripetal Control Core,R2S Pearl Reactive
IDOL PEARL,Ikon Core,eTrax-P18_Pearl_Reactive
CODE EXTREME,RAD4 Core,NRG-2 Pearl Reactive
SWORD EXPLOSION,C3Centripetal Control Core,Reactor XG Hybrid Reactive
ASTRO PHYSIX,Atomic Core,R2S Pearl Reactive
TORCH IT,Cardiac Core,eTrax-P18_Pearl_Reactive
VIRTUAL X,Shape-Lock HD Core,R4S Hybrid Reactive
SWORD NANO X,C3Centripetal Control Core,NRG Solid Reactive
PHAZE STAR,Velocity Core,R2S Pearl Reactive
HALO PEARL,Centrum Core,eTrax-P18_Pearl_Reactive
HUSTLE HSB,Hustle Core,VTC-H18 Hybrid Reactive
HUSTLE 3TP,Hustle Core,VTC-P18 Pearl Reactive
HUSTLE Au,Hustle Core,VTC-P18 Pearl Reactive
PRO DEFIANT,Paragon Core,MicroBite Solid Reactive
HY-ROAD T,Inverted Fe2 Technology,R2S Pearl Reactive
MARVEL MAXX STRIKE,Centripetal Core,NRG Smooth Pearl Reactive
STRONG BITE,G2 Core,NRG Solid Reactive
IDOL LIME GREEN,Ikon Core,MicroTrax-S18 Solid Reactive
FEVER PITCH,Tour Block,PWR+CTRL Pearl Urethane
SUPER SON!Q,Centripetal HD Core,NRG Hybrid Reactive
PHYSIX M,Atomic Core,NRG Hybrid Reactive
TROPICAL STORM BLUE,Camber Core,Reactor Pearl Reactive
HALO BURN,Centrum Core,MicroTrax-P18 Pearl Reactive
CRUX PRIME,Catalyst Core,SPEC Solid Reactive
SHIFT LOCK LTD,RAD-X Core,R3X Pearl Reactive
HUGE CELL,Nucleus Core,Wildfire Pearl Reactive
PHAZE TOUR,Velocity Core,GI-18 Pearl Reactive
ULTRA SON!Q,Centripetal HD Core,R2S Pearl Reactive
IQ TOUR RED,C3Centripetal Control Core,U1S Solid Urethane
SUPER GATE SE,Ignition Core,R3S Pearl Reactive
UP BEAT PEARL,Maximum Balance Plus Core,Power Hooking Pearl Reactive
UP BEAT PEARL BLUE PURPLE,Maximum Balance Plus Core,Power Hooking Pearl Reactive
THRONE LIMITED,CAM Core,MicroBite Pearl Reactive
MARVEL MAXX SE,Centripetal Core,NRG Smooth Pearl Reactive
ETERNAL DOMINATION,RAD+ Core,R3X Pearl Reactive
SECRET CODE,RAD4 Core,R2S Pearl Reactive
PHYSIX,Atomic Core,NRG Hybrid Reactive
SWEEP HARD BORDEAUX,3 Piece Core,Hard Polyester
WINNER,Altered Hotshot Core,VTC-P18 Pearl Reactive
HYPERCELL MOTION,Nucleus Core,eTrax-H18 Hybrid Reactive
IQ TOUR GT,C3Centripetal Control Core,R2S Pearl Reactive
SHIFT LOCK,RAD-X Core,R3X Pearl Reactive
HALO,Centrum Core,MicroTrax-S18 Solid Reactive
